Lat,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48,,,,,,3.105,3.097,3.041,,,,,,
47,3.542,3.635,3.292,3.096,3.170,3.343,3.412,3.140,3.153,,,,,
46,3.498,3.079,3.313,3.785,3.114,3.818,3.685,3.894,3.474,3.504,,,,
45,3.789,3.703,4.148,4.231,4.226,4.259,4.213,4.278,4.060,3.747,,,,
44,4.234,4.340,4.174,4.483,4.396,3.968,3.961,4.277,4.362,4.403,4.272,,,
43,4.550,4.793,4.783,4.760,4.678,4.410,4.426,4.048,4.371,4.629,4.646,4.469,4.333,
42,,4.846,4.801,4.375,4.812,4.814,4.732,4.275,3.966,4.471,4.518,4.759,4.655,4.571
41,,4.834,4.848,4.557,4.797,4.814,4.806,4.839,4.944,4.360,4.267,4.650,4.778,4.751
40,,4.881,4.954,4.657,4.772,4.838,4.843,4.872,4.899,4.849,4.367,4.808,4.921,4.915
39,,4.986,4.996,4.831,4.977,4.957,4.938,4.875,4.956,4.976,4.877,4.563,5.005,5.033
38,,5.054,5.076,5.098,5.131,5.033,4.986,4.804,4.496,4.214,4.228,4.984,5.056,
37,,,,,,4.882,4.963,5.158,5.251,4.689,5.216,5.204,5.146,
36,,,,,,5.179,5.185,5.308,5.380,5.393,5.369,5.336,,
35,,,,,,5.114,5.253,5.390,5.476,5.493,,,,
