,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48,9.9,9.9,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
47,9.9,9.9,9.9,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
46,9.9,9.9,9.9,9.9,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
45,9.9,9.9,9.9,9.9,9.9,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
44,9.9,9.9,9.9,9.9,9.9,9.9,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
43,9.9,9.9,9.9,9.9,9.9,9.9,9.9,12.0,12.0,12.0,12.0,12.0,12.0,12.0
42,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,12.0,12.0,12.0,12.0,12.0,12.0
41,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,12.0,12.0,12.0,12.0,12.0
40,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,12.0,12.0,12.0,12.0
39,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,12.0,12.0,12.0
38,9.6,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,12.0,12.0
37,9.6,9.6,9.6,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,12.0
36,9.6,9.6,9.6,9.6,9.6,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
35,9.6,9.6,9.6,9.6,9.6,9.6,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
