Lat,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48,,,,,,2.692,2.619,2.580,,,,,,
47,3.691,4.376,3.915,2.755,2.698,3.134,3.384,2.096,3.759,,,,,
46,2.942,2.331,3.058,4.245,3.169,4.303,4.044,4.443,3.929,4.120,,,,
45,2.923,1.974,4.440,4.669,4.609,4.761,4.829,4.898,4.797,4.241,,,,
44,3.978,4.576,4.436,4.915,4.780,4.244,4.426,4.884,5.111,5.014,4.673,,,
43,4.721,5.268,5.309,5.360,5.240,4.886,4.799,4.315,5.096,5.241,5.241,4.913,4.541,
42,,5.434,5.438,4.609,5.364,5.507,5.409,4.587,4.277,5.129,5.121,5.293,5.230,4.959
41,,5.541,5.426,5.016,5.401,5.507,5.530,5.519,5.444,4.733,4.798,5.069,5.204,5.148
40,,5.595,5.536,5.024,5.353,5.546,5.581,5.587,5.443,5.250,4.613,5.274,5.281,5.294
39,,5.609,5.592,5.440,5.619,5.685,5.676,5.703,5.694,5.604,5.363,5.235,5.453,5.484
38,,5.725,5.685,5.693,5.755,5.776,5.719,5.501,5.298,4.894,5.056,5.689,5.684,
37,,,,,,5.774,5.846,5.935,5.948,5.584,6.009,5.976,5.883,
36,,,,,,5.951,5.977,6.066,6.093,6.096,6.063,6.041,,
35,,,,,,5.919,6.031,6.120,6.175,6.182,,,,
