Lat,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48,,,,,,0.955,0.914,0.913,,,,,,
47,1.021,1.091,1.252,0.963,1.069,1.078,1.069,0.760,1.265,,,,,
46,0.980,0.866,1.070,1.410,1.264,1.456,1.345,1.339,1.078,1.212,,,,
45,1.139,0.853,1.450,1.363,1.345,1.403,1.413,1.417,1.420,1.161,,,,
44,1.568,1.866,1.668,1.628,1.561,1.388,1.508,1.528,1.564,1.585,1.658,,,
43,1.833,1.934,1.959,1.940,1.836,1.746,1.765,1.608,1.821,1.808,1.790,1.709,1.752,
42,,2.045,2.029,1.836,2.066,2.088,1.979,1.883,1.845,1.939,1.857,1.963,1.994,1.924
41,,2.079,2.066,1.899,2.109,2.111,2.096,2.106,2.094,1.891,1.949,2.024,2.038,2.050
40,,2.215,2.188,2.053,2.222,2.200,2.213,2.254,2.247,2.161,2.068,2.214,2.212,2.175
39,,2.268,2.321,2.269,2.375,2.398,2.402,2.395,2.429,2.374,2.240,2.214,2.254,2.278
38,,2.348,2.376,2.453,2.533,2.532,2.514,2.424,2.335,2.129,2.015,2.424,2.408,
37,,,,,,2.546,2.654,2.689,2.701,2.471,2.703,2.633,2.546,
36,,,,,,2.844,2.853,2.802,2.742,2.803,2.808,2.779,,
35,,,,,,2.864,2.884,2.887,2.868,2.873,,,,
