Lat,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48,,,,,,0.839,0.842,0.958,,,,,,
47,1.420,1.693,1.548,0.653,0.988,1.121,1.275,0.626,1.969,,,,,
46,1.176,0.817,1.120,2.095,1.305,2.101,1.996,2.049,1.692,1.691,,,,
45,1.348,0.853,2.097,1.980,1.902,2.088,2.137,2.108,2.121,1.703,,,,
44,2.012,2.548,2.346,2.292,2.242,2.005,1.954,2.137,2.210,2.331,2.237,,,
43,2.354,2.548,2.509,2.539,2.550,2.406,2.376,1.846,2.397,2.456,2.494,2.265,2.136,
42,,2.682,2.689,2.259,2.784,2.825,2.750,2.384,2.056,2.442,2.412,2.474,2.459,2.336
41,,2.710,2.730,2.475,2.825,2.824,2.762,2.716,2.813,2.264,2.382,2.524,2.523,2.510
40,,2.791,2.873,2.562,3.024,2.961,2.913,2.812,2.800,2.703,2.359,2.738,2.738,2.680
39,,2.914,2.984,2.988,3.108,3.063,3.019,2.934,2.900,2.888,2.724,2.811,2.857,2.822
38,,3.068,3.077,3.132,3.132,3.112,3.007,2.809,2.628,2.361,2.643,3.083,2.971,
37,,,,,,3.168,3.177,3.227,3.325,3.131,3.398,3.280,3.144,
36,,,,,,3.434,3.412,3.414,3.474,3.481,3.450,3.335,,
35,,,,,,3.473,3.505,3.540,3.556,3.542,,,,
